id,pic_url,descriptions,prompt,tags
10,https://promptlibrary.org/wp-content/uploads/2023/06/Feminine-Manga-Man-Pose-midjourney-prompt.jpg,Feminine Manga Man Pose,"beautiful feminine man, long straight white hair, loose fitting black kimono, slender build, muscular, feminine pose, whole body in frame, manga art style, --ar 2:3","['anime', 'beautiful', 'feminine', 'illustration', 'long hair', 'Loose Fitting', 'man', 'Manga Art Style', 'Muscular', 'slender', 'straight hair', 'white hair', 'whole body']"
11,https://promptlibrary.org/wp-content/uploads/2023/06/Artistic-Masterpieces-in-Various-Styles-midjourney-prompt-1.jpg,Artistic Masterpieces in Various Styles,"an art sculpture of the bearded man with a beard sitting in a colorful body of water, in the style of craig mullins, close - up, hercules seghers, vibrant impasto brushstrokes, kieron gillen, neo - geo, heistcore - western ivan fedorovich choultse, yoann lossel, rtx on, close - up intensity, light violet and red, ue5 ::5.2 d& d, slovenian paintings, marvel comics, epic portraiture, 8k ::6 a man, in robes, is waiting for someone from a large building, in the style of marc silvestri, otherworldly illustrations, dark and intricate, glassy translucence, daniel f. gerhartz, brothers hildebrandt, red and blue in the style of aestheticized violence vandalizing publicity iridescent: two pictures of people playing gaming on computers vhs in the style of gothic references, somber religious works in the style of todd schorr - vibrant realism, inventive character designs, queencore, thechamba, rtx on, epic portraiture, highly realistic ::5 cinematic ::1 an catholic sculpture of queer trans jesus in the style of colorful fantasy realism ::1 queer academia, heavy inking, richly colored skies, retrowave - dramatic a somber religious works - i can't believe how beautiful this is - staining - germanic art ::1 elegant - golden ratio - elite - highly detailed - color triad, dynamic composition, ultra resolution, extra wide shot, digital art, world made of light, soft lighting, Unreal Engine, depth of field, full hd photo, HDR, high resolution photography, macro photography, beautiful highlights, art, photoshop, studio setting, simple, neutral, grainy, matte, vogue style ::4 Canon EOS 5D Mar DSLR k IV, f/ 2. 8, ISO 100, 1/ 100 sec, RAW ::1 --ar 2:3 --c 100 --s 1000 --style raw --q 0.5 --iw 0.75  --v 5.1","['1/100 sec', 'aestheticized violence', 'art sculpture', 'bearded man', 'beautiful highlights', 'Brothers Hildebrandt', 'Canon EOS 5D Mark IV', 'Catholic sculpture', 'cinematic', 'close-up', 'close-up intensity', 'color triad', 'colorful body of water', 'colorful fantasy realism', 'Craig Mullins', 'Daniel F Gerhartz', 'dark and intricate', 'depth of field', 'digital art', 'dynamic composition', 'elegant', 'elite', 'epic portraiture', 'extra wide shot', 'f/28', 'full hd photo', 'gaming', 'Germanic art', 'glassy translucence', 'golden ratio', 'gothic references', 'grainy', 'HDR', 'heavy inking', 'heistcore-western', 'hercules seghers', 'high resolution photography', 'highly detailed', 'highly realistic', 'inventive character designs', 'iridescent', 'ISO 100', 'Ivan Fedorovich Choultse', 'Kieron Gillen', 'macro photography', 'Marc Silvestri', 'marvel comics', 'matte', 'Neo-Geo', 'neutral', 'Otherworldly Illustrations', 'photoshop', 'queencore', 'queer academia', 'queer trans Jesus', 'Raw', 'retrowave', 'richly colored skies', 'RTX on', 'simple', 'Slovenian paintings', 'soft lighting', 'somber religious works', 'studio setting', 'TheChamba', 'Todd Schorr', 'ultra resolution', 'Unreal Engine', 'vandalizing publicity', 'VHS', 'vibrant impasto brushstrokes', 'vibrant realism', 'Vogue style', 'world made of light', 'yoann lossel']"
12,https://promptlibrary.org/wp-content/uploads/2023/06/Backstage-Ballerina-Bun-midjourney-prompt.jpg,Backstage Ballerina Bun,A young ballerina preparing backstage ::2 a tight bun secured with hairspray ::1 --v 5.1 --style raw,"['art', 'backstage', 'ballerina', 'Ballet', 'bun', 'costume', 'dance', 'hair', 'Hairspray', 'makeup', 'performance', 'preparation', 'stage', 'young']"
13,https://promptlibrary.org/wp-content/uploads/2023/06/Butterfly-Bursting-Through-Brick-midjourney-prompt.jpg,Butterfly Bursting Through Brick,"Colorful Butterfly come out from the cracked hole in Brick wall, in style of 3D plaster cast, lush detailing, high resolution, charming illustrations --ar 93:82  --upbeta --q 2 --v 5","['Brick Wall', 'charming illustrations', 'creativity', 'high resolution', 'home decor', 'InsectsDesign', 'lush detailing', 'nature', 'photography', 'texture', 'wall art']"
14,https://promptlibrary.org/wp-content/uploads/2023/06/Elsa-Hosks-Graceful-Staircase-Stride-midjourney-prompt.jpg,Elsa Hosks Graceful Staircase Stride,"closeup Portrait of Super model Elsa Hosk gracefully striding down a marble staircase in a flowing Louis Vuitton gown, her dress adorned with delicate lace and intricate floral embroidery. The dress fits her like a second skin, accentuating her slender figure and highlighting her long legs. Her hair cascades down in loose waves, framing her beautiful face. Soft sunlight filters through the arched windows, casting a warm glow on the scene. The environment exudes opulence, with grand chandeliers hanging from the ceiling and luxurious velvet drapes adorning the walls. The mood is elegant and sophisticated, evoking a sense of timeless beauty. The style for this image is a classic fashion photography shot, captured with a high - end DSLR camera, using a 50mm lens to create a natural perspective and shallow depth of field. --ar 16:9 --v 5.1","['closeup', 'Elsa Hosk', 'fashion photography', 'floral embroidery', 'gown', 'hair', 'high-end DSLR camera', 'lace', 'long legs', 'Louis Vuitton', 'opulence', 'portrait', 'slender figure', 'Super Model', 'waves']"
15,https://promptlibrary.org/wp-content/uploads/2023/06/Autumn-Leaves-Cartoon-Pattern-midjourney-prompt.jpg,Autumn Leaves Cartoon Pattern,infinite autumn leaves pattern on a white background cartoon style --ar 293:151 --s 50,"['autumn', 'Cartoon', 'design', 'fall', 'foliage', 'graphic', 'illustration', 'leaves', 'nature', 'pattern', 'repeat', 'seamless', 'seasonal', 'vector', 'white background']"
16,https://promptlibrary.org/wp-content/uploads/2023/06/Jouir-Mushroom-Candy-Packaging-midjourney-prompt.jpg,Jouir Mushroom Candy Packaging,"flat design for mushroom gummy candy packaging, jouir, colorful, contemporary, modern --s 250 --q 2","['branding', 'candy packaging', 'Colorful', 'confectionery', 'contemporary', 'flat design', 'food packaging', 'graphic design', 'modern', 'packaging', 'packaging design', 'product design', 'sweets']"
17,https://promptlibrary.org/wp-content/uploads/2023/06/Pad-Thai-in-4k-midjourney-prompt.jpg,Pad Thai in 4k,", Pad Thai, light and shadow 4k 8k --ar 3:4 --iw 2 --s 750 --v 5.1","['4k', '8K', 'Asian food', 'cinematography', 'food photography', 'foodie', 'foodporn', 'light', 'noodles', 'photography', 'Shadow', 'stir fry', 'Thai cuisine', 'videography']"
18,https://promptlibrary.org/wp-content/uploads/2023/06/Chinese-Bracelet-E-Commerce-Photography-midjourney-prompt.jpg,Chinese Bracelet E-Commerce Photography,"New Chinese style bracelet, e - commerce photography --ar 3:4 --v 5.1","['accessories', 'advertising', 'bracelet', 'branding', 'commercial', 'Creative', 'cultural', 'digital', 'fashion', 'gift', 'handmade', 'high-quality', 'jewelry', 'lifestyle', 'marketing', 'men', 'modern', 'Online store', 'photography', 'product', 'professional', 'social media', 'traditional', 'trendy', 'unique', 'white background', 'women']"
19,https://promptlibrary.org/wp-content/uploads/2023/06/Futuristic-Spiderman-Montage-midjourney-prompt.jpg,Futuristic Spiderman Montage,"Marvel Spiderman, montage, Futuristic metropolis, volumetric lighting, leica lens --ar 9:16 --v 5  --s 750 --v 5","['action', 'adventure', 'CGI', 'comic book', 'futuristic metropolis', 'Leica Lens', 'Marvel Spiderman', 'montage', 'sci-fi', 'skyline', 'special effects', 'superhero', 'Technology', 'urban', 'volumetric lighting']"
20,https://promptlibrary.org/wp-content/uploads/2023/06/Colorful-Wall-Art-Mockup-midjourney-prompt.jpg,Colorful Wall Art Mockup,"small wall art mock up, colorful, tan and light blue, high quality ","['art print', 'Colorful', 'digital art', 'graphic design', 'high quality', 'home decor', 'interior design', 'light blue', 'mock up', 'modern art', 'print design', 'product mockup', 'tan', 'wall decor']"
21,https://promptlibrary.org/wp-content/uploads/2023/06/Happy-Family-on-Sunny-Vacation-midjourney-prompt.jpg,Happy Family on Sunny Vacation,"sunny day, good vibes, hotel in the background, happy family of a mother, a father, a son and a daughter laughing in a vacation, photo realistic, real picture, no hands in the frame ","['family vacation', 'Fun', 'good vibes', 'happiness', 'happy family', 'hotel', 'joy', 'laughter', 'leisure', 'no hands', 'photo realistic', 'real picture', 'sunny day', 'travel', 'vacation']"
22,https://promptlibrary.org/wp-content/uploads/2023/06/Mini-Kittens-Playful-Fantasy-midjourney-prompt-1.jpg,Mini Kittens Playful Fantasy,"portrait of a miniature cute white mini kitten reaching a baby's hand, doing funny things, funny expression, shallow depth of field, fantasy animal, macro, cute, bokeh background, surreal photography, in the style of kawaii, humble charm --ar 2:3 --s 750 --v 5.1","['baby', 'bokeh background', 'cute', 'expression', 'fantasy animal', 'funny', 'humble charm', 'kawaii', 'kitten', 'macro', 'miniature', 'portrait', 'shallow depth of field', 'surreal photography', 'white']"
23,https://promptlibrary.org/wp-content/uploads/2023/06/Symmetrical-Mandala-Coloring-Page-midjourney-prompt-1.jpg,Symmetrical Mandala Coloring Page,"Black and white full page pattern coloring page, golden ratio, radial shapes, full page, symmetrical, detailed, mandala, abstract pattern, interlocking patterns, thin black clear lines, coloring, simple line art, printable outlined art, –style 4b --ar 19:22","['abstract pattern', 'black and white', 'coloring', 'coloring page', 'detailed', 'full page', 'golden ratio', 'interlocking patterns', 'mandala', 'pattern', 'simple line art', 'symmetrical']"
24,https://promptlibrary.org/wp-content/uploads/2023/06/Vampire-Leather-Horrorcore-Glamour-midjourney-prompt.jpg,Vampire Leather Horrorcore Glamour,"glamour model, vampire, horrorcore, leather/ hide, vignetting, bold curves, dark brown and black, Sony alpha a7r, extreme detail, HDR, photo by Frans Lanting --ar 9:16 --v 5.1 --s 1000 --style raw --c 100","['black', 'bold curves', 'dark brown', 'extreme detail', 'fashion', 'HDR', 'horrorcore', 'leather/hide', 'photography', 'portrait', 'Sony Alpha A7R', 'vampire', 'vignetting']"
25,https://promptlibrary.org/wp-content/uploads/2023/06/Realism-Movie-Photo-Taoist-Priest-midjourney-prompt.jpg,Realism Movie Photo Taoist Priest,"algo20230620_ CJ_ 4@qatest ::0 , A realism movie photo，A young asian male taoist priest, wise, the background is end of shang dynasty，natural volumetric， depth of field，commercial photography，real life，Award - winning core photorealistic，high# midjourney definition，Cinematic Lightning，Cinematic VFX，in the style of movie still，unreal engine，super detail，Imdb 250， 16K, best quality, lifelike renderings, high detailed ，hyperdetailed，realism ::1 --ar 16:9","['16K', 'award-winning', 'best quality', 'cinematic lighting', 'commercial photography', 'depth of field', 'high definition', 'high detailed', 'hyperdetailed', 'lifelike renderings', 'movie still', 'photorealistic', 'real life', 'realism', 'Super Detail', 'Unreal Engine']"
26,https://promptlibrary.org/wp-content/uploads/2023/06/Jeans-making-Bangladeshi-Girl-midjourney-prompt.jpg,Jeans-making Bangladeshi Girl,Bangladeshi girl making jeans pants in a graments using machine ,"['Bangladeshi', 'craftsmanship', 'fashion', 'garments', 'Girl', 'industry', 'jeans', 'labor', 'machine', 'manufacturing', 'pants', 'Production', 'skill', 'textile', 'workmanship']"
27,https://promptlibrary.org/wp-content/uploads/2023/06/Exotic-Arabic-RPG-Adventure-midjourney-prompt.jpg,Exotic Arabic RPG Adventure,"Sand and gravel ground, There is a tall and magnificent building in the center of the picture, Third - person pronoun overhead angle game, tension, 8K, Extreme details, Islamic architecture, Best quality, 3A game screenshot, Diablo style, Middle East region, exotic atmosphere, handsome protagonist standing in the center of the screen, arabic culture, RPG game, open world adventure, realistic style, super realistic, close - up, main character, back view, widescreen composition, arabic style --ar 16:9 --q 2 --s 750","['8K', 'Arabic culture', 'Arabic style', 'back view', 'best quality', 'close-up', 'Exotic Atmosphere', 'extreme details', 'Islamic architecture', 'main character', 'overhead angle', 'realistic style', 'super realistic', 'tall building', 'tension']"
28,https://promptlibrary.org/wp-content/uploads/2023/06/AP-Versace-Medusa-Logo-Vector-midjourney-prompt.jpg,AP Versace Medusa Logo Vector,the letter “AP” in the Egyptian all mean Versace medusa inside as a logo vector ,"['accessories', 'apparel', 'branding', 'design', 'Egyptian', 'fashion', 'high-end', 'Italian', 'logo', 'luxury', 'Medusa', 'style', 'vector', 'Versace']"
29,https://promptlibrary.org/wp-content/uploads/2023/06/Artistic-Masterpieces-in-Various-Styles-midjourney-prompt.jpg,Artistic Masterpieces in Various Styles,"an art sculpture of the bearded man with a beard sitting in a colorful body of water, in the style of craig mullins, close - up, hercules seghers, vibrant impasto brushstrokes, kieron gillen, neo - geo, heistcore - western ivan fedorovich choultse, yoann lossel, rtx on, close - up intensity, light violet and red, ue5 ::5.2 d& d, slovenian paintings, marvel comics, epic portraiture, 8k ::6 a man, in robes, is waiting for someone from a large building, in the style of marc silvestri, otherworldly illustrations, dark and intricate, glassy translucence, daniel f. gerhartz, brothers hildebrandt, red and blue in the style of aestheticized violence vandalizing publicity iridescent: two pictures of people playing gaming on computers vhs in the style of gothic references, somber religious works in the style of todd schorr - vibrant realism, inventive character designs, queencore, thechamba, rtx on, epic portraiture, highly realistic ::5 cinematic ::1 an catholic sculpture of queer trans jesus in the style of colorful fantasy realism ::1 queer academia, heavy inking, richly colored skies, retrowave - dramatic a somber religious works - i can't believe how beautiful this is - staining - germanic art ::1 elegant - golden ratio - elite - highly detailed - color triad, dynamic composition, ultra resolution, extra wide shot, digital art, world made of light, soft lighting, Unreal Engine, depth of field, full hd photo, HDR, high resolution photography, macro photography, beautiful highlights, art, photoshop, studio setting, simple, neutral, grainy, matte, vogue style ::4 Canon EOS 5D Mar DSLR k IV, f/ 2. 8, ISO 100, 1/ 100 sec, RAW ::1 --ar 2:3 --c 100 --s 1000 --style raw --q 0.5 --iw 0.75  --v 5.1","['1/100 sec', 'aestheticized violence', 'art sculpture', 'bearded man', 'Brothers Hildebrandt', 'Canon EOS 5D Mark IV', 'Catholic sculpture', 'cinematic', 'close-up', 'close-up intensity', 'color triad', 'colorful body of water', 'colorful fantasy realism', 'computers', 'Craig Mullins', 'Daniel F Gerhartz', 'dark and intricate', 'depth of field', 'digital art', 'dynamic composition', 'elegant', 'elite', 'epic portraiture', 'extra wide shot', 'f/28', 'full hd photo', 'gaming', 'Germanic art', 'glassy translucence', 'golden ratio', 'gothic references', 'grainy', 'HDR', 'heavy inking', 'heistcore-western', 'hercules seghers', 'high resolution photography', 'highly detailed', 'highly realistic', 'inventive character designs', 'iridescent', 'ISO 100', 'Ivan Fedorovich Choultse', 'Kieron Gillen', 'light violet', 'macro photography', 'Marc Silvestri', 'marvel comics', 'matte', 'Neo-Geo', 'neutral', 'Otherworldly Illustrations', 'queencore', 'queer academia', 'queer trans Jesus', 'Raw', 'red', 'retrowave', 'richly colored skies', 'RTX on', 'simple', 'Slovenian paintings', 'soft lighting', 'somber religious works', 'staining', 'studio setting', 'TheChamba', 'Todd Schorr', 'ultra resolution', 'Unreal Engine', 'vandalizing publicity', 'VHS', 'vibrant impasto brushstrokes', 'vibrant realism', 'Vogue style', 'world made of light', 'yoann lossel']"
30,https://promptlibrary.org/wp-content/uploads/2023/06/Mystical-Floral-Fairy-Crouching-midjourney-prompt.jpg,Mystical Floral Fairy Crouching,"shoot from behind, female mystical fairy creature with skin patterned with pink and red floral motifs, with pale white skin, with mini ballet skirt, with princess hair, with gold jewelry, with an aura around the body, with luminous mystical accessories on the body, crouching body, ultra realistic, premium textures, ultra definition textures, ultra definition, lumion efect, substance painter, nvidia rtx 4090, ultra high definition, 8K, unreal, hyper realistic, --ar 10:17  --s 250","['8K', 'aura', 'gold jewelry', 'hyper realistic', 'pale white skin', 'Substance Painter', 'ultra high definition', 'ultra realistic', 'Unreal']"
31,https://promptlibrary.org/wp-content/uploads/2023/06/Ring-Love-Buffer-Queue-midjourney-prompt.jpg,Ring Love Buffer Queue,"Ring Queue buffer illustrating the words “if you love it, put a ring on it” ","['computer science', 'data management', 'data processing', 'data storage', 'programming', 'queue']"
32,https://promptlibrary.org/wp-content/uploads/2023/06/French-Rococo-Sofa-and-Decor-midjourney-prompt.jpg,French Rococo Sofa and Decor,"A French cloth carving sofa, Rococo classical design style, an art cabinet beside the sofa, and a floor lamp, elegant and exquisite French Rococo classical style, bright sunlight, window light, high angle, fine details, strong lighting atmosphere, French Rococo classical design, home environment, commercial photography, product photography, strong light, light white color, best quality, ultra - high definition picture quality, ultra - high detail, High realism, medium shot. --s 250 --v 5","['bright sunlight', 'commercial photography', 'elegant', 'exquisite', 'fine details', 'floor lamp', 'high angle', 'product photography', 'strong light', 'window light']"
33,https://promptlibrary.org/wp-content/uploads/2023/06/South-Indian-Beauty-in-Red-midjourney-prompt.jpg,South Indian Beauty in Red,"Aswathy, South Indian woman, age 25, wearing a red saree, and long sleeve blouse, simple beauty, beautiful, happy face, smiling, full body, full saree, digital art, webtoon art, comic art style ","['age 25', 'beautiful', 'comic art style', 'digital art', 'Full body', 'happy face', 'smiling']"
34,https://promptlibrary.org/wp-content/uploads/2023/06/Blonde-Beauty-in-High-Quality-midjourney-prompt.jpg,Blonde Beauty in High Quality,"a beautiful girl with long blonde hair, standing and looking away, dress neckline, bright background, high resolution, high quality film photography --ar 4:5","['beautiful girl', 'beauty', 'bright background', 'elegance', 'fashion', 'Film photography', 'glamour', 'high quality', 'high resolution', 'long blonde hair', 'looking away', 'portrait', 'standing', 'style']"
35,https://promptlibrary.org/wp-content/uploads/2023/06/Child-in-Wheat-Field-midjourney-prompt.jpg,Child in Wheat Field,"/ a child, runs in the wheat field, fresh air, emphasis on action, taken with nikon d750, photo, realistic photo, high resolution ","['active', 'candid', 'countryside', 'fresh air', 'golden hour', 'high resolution', 'motion', 'nature', 'outdoor', 'photo', 'realistic photo']"
36,https://promptlibrary.org/wp-content/uploads/2023/06/Ginger-Anime-Duelists-Mai-Shizuka-midjourney-prompt.jpg,Ginger Anime Duelists Mai Shizuka,"90s anime character, female character, ginger hair, Mai Kujaku, Shizuka Kawai, yugioh, illustrated by Kazuki Takahashi --v 5","['action', 'adventure', 'anime', 'Duel Monsters', 'Egyptian Mythology', 'fantasy', 'female character', 'ginger hair', 'manga', 'trading card game', 'Yugioh']"
37,https://promptlibrary.org/wp-content/uploads/2023/06/Swinging-Sixties-London-Dance-Club-midjourney-prompt.jpg,Swinging Sixties London Dance Club,"in a swinging dress, in the sixties, London style, in a dance club, --s 250","['60s fashion', 'fashion inspiration', 'retro fashion', 'retro glamour', 'Vintage Style']"
38,https://promptlibrary.org/wp-content/uploads/2023/06/Red-LV-Bag-Minimal-Thriller-midjourney-prompt.jpg,Red LV Bag Minimal Thriller,"minimal still life photography of a red louis vuitton bag on a grey - blue background, thriller style cinematography ","['action', 'background', 'bag', 'blue', 'cinematography', 'drama', 'grey', 'Louis Vuitton', 'minimalism', 'photography', 'red', 'still life', 'style', 'suspense', 'thriller']"
39,https://promptlibrary.org/wp-content/uploads/2023/06/Undulating-Forest-Sculpture-Design-midjourney-prompt.jpg,Undulating Forest Sculpture Design,"forest park sculpture design by santiago calatrava and zaha hadid, bronze, white polished concrete, undulating curves, glass details, 8k, dusk in tokyo, thread chaotic, forest's background, clean sky --v 5.1 --style raw","['8K', 'bronze', 'design', 'Santiago Calatrava', 'sculpture', 'Zaha Hadid']"
40,https://promptlibrary.org/wp-content/uploads/2023/06/Gold-Mosaic-Girl-Portrait-midjourney-prompt.jpg,Gold Mosaic Girl Portrait,Photo of a girl on the background of a wall covered with a very small square gold mosaic. --s 750 --q 2 --v 5.1,"['background', 'Girl', 'glamour', 'interior design', 'metallic', 'pattern', 'photo', 'reflective', 'shiny', 'wall']"
41,https://promptlibrary.org/wp-content/uploads/2023/06/Jules-Vernes-Steampunk-Airship-midjourney-prompt.jpg,Jules Vernes Steampunk Airship,"steampunk airship in the style of Jules Verne, ar16: 9, 16k, bold, science fiction, sharp, clear, dynamic light, hyper realistic, ( highest quality) , ( best shadow) , High detail, masterpiece, high contrast, without glare, ultra high resolution, morning light, indirect light, without burn, trending on artstation, ","['16K', 'airship', 'ar16:9', 'best shadow', 'Bold', 'clear', 'dynamic light', 'High Contrast', 'high detail', 'high quality', 'hyper realistic', 'Jules Verne', 'masterpiece', 'science fiction', 'sharp', 'Steampunk']"
42,https://promptlibrary.org/wp-content/uploads/2023/06/Enchanted-Android-in-Snow-Forest-midjourney-prompt.jpg,Enchanted Android in Snow Forest,"enchanted snow forest, beautiful woman android with blue eyes, in the style of organic art nouveau, realistic portrait, becky cloonan, wimmelbilder, uhd image, slovenian paintings, david welker, dx --aspect 2:3","['becky cloonan', 'David Welker', 'dx', 'fantasy', 'Organic Art Nouveau', 'realistic portrait', 'sci-fi', 'Slovenian paintings', 'UHD image', 'wimmelbilder']"
43,https://promptlibrary.org/wp-content/uploads/2023/06/Cute-Doctor-Sphinx-Cat-midjourney-prompt.jpg,Cute Doctor Sphinx Cat,slightly cartoonish and cute sphinx cat in a doctor suit with round cute paws ,"['adorable', 'animal', 'cartoonish', 'character', 'cute', 'digital art', 'doctor', 'feline', 'illustration', 'medical', 'pet', 'sphinx cat', 'whimsical']"
44,https://promptlibrary.org/wp-content/uploads/2023/06/Fox-Garden-Delight-midjourney-prompt.jpg,Fox Garden Delight,"a charming garden scene with cute fox and vibrant flowers, detailed and realistic, with butterflies and ladybugs, perfect for a nature - themed nursery high - resolution, suitable for framing ::1 by Daria Shevtsova ::3 soft pastel colors ::1 mockup ::-0.5 --v 5.1 --style raw --no mockup --ar 2:3","['art print', 'butterflies', 'detailed', 'framing', 'high-resolution', 'ladybugs', 'mockup', 'nature-themed', 'nursery decor', 'realistic', 'soft pastel colors', 'vibrant flowers']"
